Patch_ID,Sheet,Cell_or_Range,Current_Value_or_Formula,Proposed_Value_or_Formula,Change_Type,Source_Path_or_URL,Source_Hash,Source_Page_or_Image,Exact_Excerpt,Confidence,Formula_Impact,Reconciliation_Impact,Address_Type,Reason,Risk,Decision
P-038,Title,Title!110 — Assumptions & Notes cell,Vested: MD 86/21; EST.\*,Vested: MD 86/21; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 3",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-039,Title,Title!112 — Assumptions & Notes cell,Vested: MD 85/36; EST.\*,Vested: MD 85/36; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 3",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-040,Title,Title!113 — Assumptions & Notes cell,"Vested: DECR P-76-78, pages 349-350 (images 1546-1550); EST.\*","Vested: DECR P-76-78, pages 349-350 (images 1546-1550); EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.",Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 3",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-041,Title,Title!114 — Assumptions & Notes cell,"Vested: DECR P-76-78, pages 349-350 (images 1546-1550); EST.\*","Vested: DECR P-76-78, pages 349-350 (images 1546-1550); EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.",Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 3",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-042,Title,Title!115 — Assumptions & Notes cell,Vested: MD 74/63; EST.\*,Vested: MD 74/63; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 3",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-043,Title,Title!116 — Assumptions & Notes cell,"Vested: DECR P-76-78, pages 349-350 (images 1546-1550); EST.\*","Vested: DECR P-76-78, pages 349-350 (images 1546-1550); EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.",Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 3",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-044,Title,Title!122 — Assumptions & Notes cell,Vested: STIPULATION (RECORDED QUANTUM) 153/161-162; EST.\*,Vested: STIPULATION (RECORDED QUANTUM) 153/161-162; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-045,Title,Title!123 — Assumptions & Notes cell,Vested: STIPULATION (RECORDED QUANTUM) 153/161-162; EST.\*,Vested: STIPULATION (RECORDED QUANTUM) 153/161-162; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-046,Title,Title!124 — Assumptions & Notes cell,Vested: MD 1287/42; EST.\*,Vested: MD 1287/42; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-047,Title,Title!125 — Assumptions & Notes cell,Vested: DECR 312/700-704; EST.\*,Vested: DECR 312/700-704; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-048,Title,Title!126 — Assumptions & Notes cell,Vested: MD 89/424; EST.\*,Vested: MD 89/424; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-049,Title,Title!127 — Assumptions & Notes cell,Vested: DECR 333/239-248; EST.\*,Vested: DECR 333/239-248; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-050,Title,Title!128 — Assumptions & Notes cell,Vested: MD 88/174; EST.\*,Vested: MD 88/174; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-051,Title,Title!129 — Assumptions & Notes cell,Vested: MD 1287/42; EST.\*,Vested: MD 1287/42; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-052,Title,Title!130 — Assumptions & Notes cell,Vested: MD 89/428; EST.\*,Vested: MD 89/428; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-053,Title,Title!131 — Assumptions & Notes cell,Vested: MD 89/426; EST.\*,Vested: MD 89/426; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-054,Title,Title!132 — Assumptions & Notes cell,Vested: MD 90/242; EST.\*,Vested: MD 90/242; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-055,Title,Title!133 — Assumptions & Notes cell,Vested: MD 88/172; EST.\*,Vested: MD 88/172; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-056,Title,Title!134 — Assumptions & Notes cell,Vested: MD 90/241; EST.\*,Vested: MD 90/241; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-057,Title,Title!135 — Assumptions & Notes cell,Vested: MD 89/87; EST.\*,Vested: MD 89/87; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-058,Title,Title!136 — Assumptions & Notes cell,Vested: MD 89/422; EST.\*,Vested: MD 89/422; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-059,Title,Title!137 — Assumptions & Notes cell,Vested: MD 90/153; EST.\*,Vested: MD 90/153; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-060,Title,Title!138 — Assumptions & Notes cell,Vested: MD 89/315; EST.\*,Vested: MD 89/315; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Historic recital address,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
P-061,Title,Title!139 — Assumptions & Notes cell,Vested: MD 85/222; EST.\*,Vested: MD 85/222; EST.\* | LAST LOCATED RECORD OWNER — no later conveyance located; forward search runs only through 03/02/2023; current status not confirmed at the 08/05/2026 effective date.,Add present-status qualifier,Google Drive (MCP) file 1owajPR934i5bYiQMx_14kLxHOazRFQM6DgFx8NttDQw — 'Section_3211N25W_Beckham_Co_Diversified_Cursory_Report_NHE_852026_BACKWARDS_TITLE_V7',"NOT COMPUTABLE — Google Sheets native file, no binary to hash. Underlying XLSX not present in any reachable location; the two declared control hashes were NOT located (see input ledger).","Title sheet, Tract 4",Hidden PRESENT VESTING CONTROL: 'LATEST LOCATED RECORD OWNER' / 'None located in the search-forward period'; search-forward period stated as 'through Book 2400/551 (03/02/2023)',MEDIUM-HIGH — the qualifier itself is proved by the hidden register; the underlying title question is not,NONE — note cell only,NONE,Address not located,Fails the second limb of the current-owner test (no later conveyance OUT). Vesting is mostly a 1949-1951 mineral deed; the named individual is very likely deceased. Displaying as a present owner without the qualifier is a Section 4 violation. Full resolution needs a live forward search this session could not run.,HIGH,APPLY
